image_id,class_label,image_path,ground_truth_mask_path,predicted_mask_path,include_in_evaluation,evaluation_subset,class_label_review_status,ground_truth_mask_review_status,review_type,annotation_method,foreground_value,background_value,image_width,image_height,ground_truth_width,ground_truth_height,predicted_width,predicted_height,dimensions_match,ground_truth_binary_exact,predicted_binary_exact,ground_truth_foreground_fraction,predicted_foreground_fraction,image_sha256,ground_truth_mask_sha256,predicted_mask_sha256,notes
irregular_06,irregular,segmentation_dataset/images/irregular/irregular_06.jpeg,segmentation_dataset/ground_truth_masks/irregular/irregular_06_mask.png,segmentation_dataset/predicted_masks/irregular/irregular_06_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,1254,1254,1254,1254,1254,1254,yes,yes,yes,0.22122001,0.21731098,6341df71c8836694a2474825d6495f3411ae5b435efe06f686686bf8e455d0e4,8c9920d7cf66669cae2a238fd03696b8a55a3fc20962e4458e985aceb18a1722,bc01db22e094aad9b8ca104f1c000dfaa15881e01c35319e5cc9df54bb3905c6,
irregular_07,irregular,segmentation_dataset/images/irregular/irregular_07.png,segmentation_dataset/ground_truth_masks/irregular/irregular_07_mask.png,segmentation_dataset/predicted_masks/irregular/irregular_07_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,975,975,975,975,975,975,yes,yes,yes,0.59457304,0.58395582,fdbe3dd4a9d5a380097e294edd7a05a494f1b9c0a60b60b09ab4e3f0895f88ea,d1318bc049669de3fdf96f1eb2b64c32b89ee3fc4dfd557b5d9e766fc2c62d5b,f7a857dbcadad1eb5511c79f83822b8428d990931f3e0980a77e33eb07ea7835,
lines_01,lines,segmentation_dataset/images/lines/lines_01.png,segmentation_dataset/ground_truth_masks/lines/lines_01_mask.png,segmentation_dataset/predicted_masks/lines/lines_01_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,714,870,714,870,714,870,yes,yes,yes,0.21517274,0.21194662,fec43e944e7cf319a88ef94bdb0014d85927ecc4211bf35af879e2b253f5718b,8aa1eab6664b2900a008bdf7a8ac40e4fb789b65840e7ae2f5e6ae2ce744a2a4,332a5514a32d02a263c556e2ef787e4f93b6e49224f2bfb7189bdc5a2c44ccd4,
lines_02,lines,segmentation_dataset/images/lines/lines_02.png,segmentation_dataset/ground_truth_masks/lines/lines_02_mask.png,segmentation_dataset/predicted_masks/lines/lines_02_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,1150,932,1150,932,1150,932,yes,yes,yes,0.21451577,0.2102034,3c9ed6865f7ba4c85e2f85f032503d7de66ec74afe4de15bdf682bde37642dfc,00cd0057a825c455bf4798575acf692a5eaeb03523e8fbe9c6ea5cd3bbe0357e,15332c15ea189b96855a5196571a0b44e84b9d514a30490ce2bc0e90deb15887,
lines_03,lines,segmentation_dataset/images/lines/lines_03.png,segmentation_dataset/ground_truth_masks/lines/lines_03_mask.png,segmentation_dataset/predicted_masks/lines/lines_03_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,654,640,654,640,654,640,yes,yes,yes,0.21150612,0.20752102,9243a92613537ace4b3f06c71abaa8692ac19ec47a53cf2f06af6ac287a07bd8,c34c928be6d9daea751a09563331ba45a263b51e4ed186284b4607bc997775af,fdc098160a1e2142516b90c6caacd9ababa7549fd359f53304f3a4f61de8798d,
lines_04,lines,segmentation_dataset/images/lines/lines_04.png,segmentation_dataset/ground_truth_masks/lines/lines_04_mask.png,segmentation_dataset/predicted_masks/lines/lines_04_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,822,756,822,756,822,756,yes,yes,yes,0.13661028,0.13670361,6b7e8c88f3eef9520cc375831912244354bd6c5ca2cb727c7c6b75c1b7f85e93,9c1dce8489bd679411fc3d4ce9bd4a22edf2a92fdfc199266b11aefbc4a369d6,df46fbe3cf7bb91884cf2cf56877f04eb1fc7c6de3932b44acf68cd6cdefe42a,
lines_05,lines,segmentation_dataset/images/lines/lines_05.png,segmentation_dataset/ground_truth_masks/lines/lines_05_mask.png,segmentation_dataset/predicted_masks/lines/lines_05_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,536,558,536,558,536,558,yes,yes,yes,0.23826098,0.23333935,c9c8e5056abd359410ba2f45a26d66d90df2d880a22753bee048a6f86f75e82d,fa06ce526474c8814d1d8e31bf0afce53927b065cb4edf93d1c1025568d36a56,6b0a458eec5d6d7177f3dc3463f9caf41497ade5686b4a38d2b1b9ee8a7a9920,
lines_06,lines,segmentation_dataset/images/lines/lines_06.png,segmentation_dataset/ground_truth_masks/lines/lines_06_mask.png,segmentation_dataset/predicted_masks/lines/lines_06_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,684,692,684,692,684,692,yes,yes,yes,0.18960002,0.18636759,ba0440ffcd035a43f27fd83b589c8fc210a8bbfff1720858395a1447fb43462b,1b49e449a4ad4ed8091359d20b826a41cbc6fd1cb4998e2ddce805114d66533b,c13a8c2cb4ab7a72bba57ed28590bc08a7c940d5cde155bdd1b46f911e96007c,
lines_07,lines,segmentation_dataset/images/lines/lines_07.png,segmentation_dataset/ground_truth_masks/lines/lines_07_mask.png,segmentation_dataset/predicted_masks/lines/lines_07_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,658,726,658,726,658,726,yes,yes,yes,0.05320196,0.05279166,554b51b5bcc11c8b075e57c60db86651db9b952e0cc5aee52759ed32b373b856,931950191324461de642e5c858d5955bbf1978d4d6abcf2c3685139c0b5c6619,2e5509d0f8fcf84c7da13df62efbabb1babd6a6a46385dd714704b4e2c53202f,
lines_08,lines,segmentation_dataset/images/lines/lines_08.png,segmentation_dataset/ground_truth_masks/lines/lines_08_mask.png,segmentation_dataset/predicted_masks/lines/lines_08_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,652,716,652,716,652,716,yes,yes,yes,0.19490523,0.1936264,b59af0867b4a15ee1ba62bf0640a907506853ebbb7002aefe0dff373305514f2,ab6edae829ffe9d0febf934b57c67919756093c92de477cb11b6beabb7d122bd,dd358ba9bbf32a281e459681ac873d49caf4b1697f24d0e9fdb6b2dff88343a2,
lines_09,lines,segmentation_dataset/images/lines/lines_09.png,segmentation_dataset/ground_truth_masks/lines/lines_09_mask.png,segmentation_dataset/predicted_masks/lines/lines_09_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,622,668,622,668,622,668,yes,yes,yes,0.18960231,0.18805957,f708fe1de75330c314cba9d97f9dd06029f9ea09ae15595850583a71a60fedcc,249935f910b80619e457a4b7aebdc6e1adf7627e858710a7c608ac669a94d107,67fefcc9c4f6e81ba6b79eb23a1d02858809f31a368e4964b19d66d6f4f95e43,
lines_10,lines,segmentation_dataset/images/lines/lines_10.png,segmentation_dataset/ground_truth_masks/lines/lines_10_mask.png,segmentation_dataset/predicted_masks/lines/lines_10_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,524,546,524,546,524,546,yes,yes,yes,0.18805399,0.18470207,fabd79ab613035d80665799501a1b1bd9d1caa9a9f4d7de0ccb052982017298e,51d9fa35387a6ead316b92496828c9a59911a81051e439d0c42bedce2c1f3290,adff669297af961c9b001da68e82752f896784d162fc9e780d961e94240b1ad7,
lines_11,lines,segmentation_dataset/images/lines/lines_11.png,segmentation_dataset/ground_truth_masks/lines/lines_11_mask.png,segmentation_dataset/predicted_masks/lines/lines_11_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,584,620,584,620,584,620,yes,yes,yes,0.10397702,0.10230888,1f1adc212531eb25bd71ae97f1ca695d7bd5d7815ed94542c5d4e82f3e5d33e4,705d65d0bd81e3c836147c2efefaa3eefcb474b6d2603ff01906202e924efb3d,e41c9a91d0714a6f81c67521db3420f4d429272cf1c7a6f4d3e7bbc75d1cf683,
lines_12,lines,segmentation_dataset/images/lines/lines_12.png,segmentation_dataset/ground_truth_masks/lines/lines_12_mask.png,segmentation_dataset/predicted_masks/lines/lines_12_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,446,456,446,456,446,456,yes,yes,yes,0.1069251,0.10655141,49b85fae5236cd46cf509dc6e0e1711937ea57685de6df8757fd9819ecb586a6,e1a23a81b53125b780146550155f2fc85e1b8a65399525fd00d52f1e09137de0,7a9a83d5ccfc7daa24dd4769d17330912e7411535916622e3b2ccdc671e0d45b,
lines_13,lines,segmentation_dataset/images/lines/lines_13.png,segmentation_dataset/ground_truth_masks/lines/lines_13_mask.png,segmentation_dataset/predicted_masks/lines/lines_13_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,436,482,436,482,436,482,yes,yes,yes,0.1597558,0.15688644,f3962b1a2012657c79328f75949090a4024f185ae83e4afd10b4156fbeb2c49f,01c66fe655af00b0acdf19c6491e918c27448903c83bd11947ae48b8614e7da7,e1ac7648e689d3c004c15679cf4d2dd0844d280d2d4b988067e83763173eb0a9,
lines_14,lines,segmentation_dataset/images/lines/lines_14.png,segmentation_dataset/ground_truth_masks/lines/lines_14_mask.png,segmentation_dataset/predicted_masks/lines/lines_14_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,434,480,434,480,434,480,yes,yes,yes,0.02230223,0.02212462,6be8b0306ed3abcedcc278ef5f6d57ce5e76dde9f041b5f79f4b8df5476b68f1,061b6c65aa101f2ca968b25ea308d845f6b790b554eed680abc78371a268ba7f,ee747e5479b8b26b2cf4a87b2bcf8b439eb1335f23b9aa2f5cf8c57e94de539f,
lines_15,lines,segmentation_dataset/images/lines/lines_15.png,segmentation_dataset/ground_truth_masks/lines/lines_15_mask.png,segmentation_dataset/predicted_masks/lines/lines_15_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,278,266,278,266,278,266,yes,yes,yes,0.09686536,0.09449884,6dff08ed67795000acaa89052fa1d23b41698f272b91360c04138438d07b803b,41b2e7b996d1382ca5d69164ca3fe78c98d6b127b4b286a38cf42065b73e52f0,fe4d4ea1dfccac922fcb476dde9a9e306fb94d5c617b8894097784ab80189dc2,
lines_16,lines,segmentation_dataset/images/lines/lines_16.png,segmentation_dataset/ground_truth_masks/lines/lines_16_mask.png,segmentation_dataset/predicted_masks/lines/lines_16_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,258,258,258,258,258,258,yes,yes,yes,0.51186828,0.50715101,f4221de57d9db167e82b06069e8b598a82e5cd9deeb35e35374b6f999cc3e367,066be2aea201a94a6a89f8ecdcd031644ea1f23950841f52c3e9e41f4e7fbf1e,6a296be135bf70e55a44349ae498b0b49e6db42f1b763dc0b262d33e4e692a7f,
lines_17,lines,segmentation_dataset/images/lines/lines_17.png,segmentation_dataset/ground_truth_masks/lines/lines_17_mask.png,segmentation_dataset/predicted_masks/lines/lines_17_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,648,596,648,596,648,596,yes,yes,yes,0.07280274,0.07212953,26aa760a42645da9ffb86d90145727759feac07913271e16ae0d8c4096e81ced,59418c3fe5b7a36e98d89ed1aa39b471dadd6bafa1d1e304588ebfb8ce63c8b6,6f1e8704aca708bfef9b91d59593d19aa4d23c039904cf1c370c81adb80cb232,
lines_18,lines,segmentation_dataset/images/lines/lines_18.png,segmentation_dataset/ground_truth_masks/lines/lines_18_mask.png,segmentation_dataset/predicted_masks/lines/lines_18_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,556,532,556,532,556,532,yes,yes,yes,0.27667415,0.2711669,42aca41abcf9b752f0dcafc269eba5ffd35e6fb6ac72f8833f8d645af6fa0809,130873d6936417a12583e9bca7c5d19fc4bcbcbf45f36d8d41dbb2ac24ffaa5c,3753d9bab90935c09e6af0aabbd1ee4b6b92a0564ba3bcca500bca4b784539a2,
lines_19,lines,segmentation_dataset/images/lines/lines_19.png,segmentation_dataset/ground_truth_masks/lines/lines_19_mask.png,segmentation_dataset/predicted_masks/lines/lines_19_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,546,544,546,544,546,544,yes,yes,yes,0.09110038,0.08924868,be56dd049c02613d77d8bedfbfe0cee4b2d5c479f10c960696b309ed8e7f4e66,b6944a479907dd771c17464150c8533627b08fee38b45f7d80907666aa7a4082,227aacc37575b869aa55aab9bb5d16eb8706e995c8de8e124a1e8732840b7b41,
lines_20,lines,segmentation_dataset/images/lines/lines_20.png,segmentation_dataset/ground_truth_masks/lines/lines_20_mask.png,segmentation_dataset/predicted_masks/lines/lines_20_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,1030,1030,1030,1030,1030,1030,yes,yes,yes,0.30470355,0.29796965,c3e27a9e70c77602d11c6ddffbdd1380e49282b15d08e353f97671401459266f,c938fb472e1fe2738af11bbec0494bab88ebf96a3704ccdc1aa929ff7b66f4ea,87ec7e75681ad9503e6208f2d0b8f604813b255526aa70b5472ae0e2f6cfd706,
Mixed_01,mixed,segmentation_dataset/images/mixed/Mixed_01.png,segmentation_dataset/ground_truth_masks/mixed/Mixed_01_mask.png,segmentation_dataset/predicted_masks/mixed/Mixed_01_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,762,662,762,662,762,662,yes,yes,yes,0.46549667,0.13675056,241dcb9ca26c6545c05813c476a187247f52296de3c81bb9a2e118a98ec543df,3bcf1baf20320f987f7607ec3b0454c8cb7e465ddca691c4295c8db00c832993,1badca06599c19196e2353566a1d96d8081083e2161cdce33e947327eb5bb5ab,
Mixed_03,mixed,segmentation_dataset/images/mixed/Mixed_03.png,segmentation_dataset/ground_truth_masks/mixed/Mixed_03_mask.png,segmentation_dataset/predicted_masks/mixed/Mixed_03_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,207,207,207,207,207,207,yes,yes,yes,0.19624729,0.19972461,b51b524b4f16d340bf6c52e399c10676397ded74433592c29c85d1d35a0db751,89f7055ee2452d819de049c4203ee52f43190843c0cf93c5858de62ceec4a6ae,fc1d187802228fdb6ed7103fff736d39485eefe477edc9a7a8adf3d689355410,
Mixed_04,mixed,segmentation_dataset/images/mixed/Mixed_04.png,segmentation_dataset/ground_truth_masks/mixed/Mixed_04_mask.png,segmentation_dataset/predicted_masks/mixed/Mixed_04_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,222,222,222,222,222,222,yes,yes,yes,0.25484944,0.25099424,adae6f07ca256e470483f61a50f55f162395efd185203f292af13a21506dc272,bb84a57e799b9a2242b62c5fac594cd50616a3df8f1a31f2344ddcf1052e5aa4,bdd84f55a7de81efee752c175a2935f66799837e9e16e9f454ff649f1735df92,
mixed_05,mixed,segmentation_dataset/images/mixed/mixed_05.png,segmentation_dataset/ground_truth_masks/mixed/mixed_05_mask.png,segmentation_dataset/predicted_masks/mixed/mixed_05_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,1042,1042,1042,1042,1042,1042,yes,yes,yes,0.27616959,0.27259975,cc47186ff2aa50d638ac24d9fa5baca178c7271ec334cb4c28b4319cfc0c1c77,5624819553ceca41d017b3c8ff1a92cdf5f1689178657901c4ed33ba7c976324,42c53feb5fa26d12a9ee0fa1446ee9e0858277f8641963f8d0eb4cad74d5f8c6,
mixed_06,mixed,segmentation_dataset/images/mixed/mixed_06.jpeg,segmentation_dataset/ground_truth_masks/mixed/mixed_06_mask.png,segmentation_dataset/predicted_masks/mixed/mixed_06_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,1254,1254,1254,1254,1254,1254,yes,yes,yes,0.30709131,0.30430279,c7bf3f985fddadfaf40a8c2f52a910d99cf08501f2eece4fde25cba369674e87,9094036efcc3519b5e2fae53a878d7f9a8d773460970d249b16708dce2e1c8eb,e744320d4e5eb3273314355775d83a348bf620e689c4fc4627e72526abfb2acc,
mixed_07,mixed,segmentation_dataset/images/mixed/mixed_07.png,segmentation_dataset/ground_truth_masks/mixed/mixed_07_mask.png,segmentation_dataset/predicted_masks/mixed/mixed_07_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,1042,1042,1042,1042,1042,1042,yes,yes,yes,0.28251259,0.27847672,e57aeb15799b4f1bc30edeab6bf73ff42c7a74336c2df737fd6a0329b0866c0d,d5bd14f0360580fb71f3d939e58b48e9ec2b2b05313564a5bf630f0ee872e355,3efe43e683fc56db5ba3da8c77648900e51bedb73ebac7e1fd534717e7b44737,
mixed_08,mixed,segmentation_dataset/images/mixed/mixed_08.jpeg,segmentation_dataset/ground_truth_masks/mixed/mixed_08_mask.png,segmentation_dataset/predicted_masks/mixed/mixed_08_mask.png,yes,external_validation,externally_verified,externally_verified,external,manual_fiji,0,255,887,887,887,887,887,887,yes,yes,yes,0.27105542,0.26639713,2e3b0a216ec060baa81be43847f1caa87e698acb92562db598107d24cf3b0922,f72195f59215008428b913de3342d07e98e1a7c7bbc7b03b7332ba4a19901e29,9d937446773e29b728b8c9af232e48a0249a180608853cfdb1d9d64815023be9,
